Document,Page,Category,Confidence,Description,Quote,Entities,Has Relationship
104-10332-10023,1,CIA_RECORDKEEPING,8,CIA maintained decentralized record-keeping systems with different procedures across directorates,"For most of its history, the Agency has had a system of records which has been shaped by the divergent requirements of the directorates in accordance with the wide variance of focus in their missions.",CIA,No
104-10332-10023,1,ASSASSINATION_INVESTIGATION,9,Sequestered collection focused on JFK Assassination investigation materials,"Today, the sequestered collection comprises the great bulk of CIA-originated documents which can be associated with the JFK Assassination and related investigations.",CIA,No
104-10332-10023,2,CIA_FBI_ACTIVITIES,7,CIA document details search methodologies for JFK assassination-related materials since 1992 JFK Act,"Since 1992 and the passage of the JFK Act, CIA has, in responding to the requests of the Board, had to devise search methodologies and techniques to address both the hard copy and electronic versions of our databases.",CIA,No
104-10332-10023,2,SURVEILLANCE_RECORDS,6,Electronic database search techniques used for comprehensive records review,"Electronic files searches can actually be more complex than manual searches, in major part because of the number of different electronic systems in use.",CIA,No
104-10332-10023,3,OSWALD_ASSOCIATIONS,8,Multiple investigative contexts related to Oswald's activities and potential connections,"Moscow Station, Mexico City Station, and JMWAVE Station, as they related to Oswald's activities or possible conspiracies",Mexico City,No
104-10332-10023,3,CIA_FBI_ACTIVITIES,7,CIA anti-Cuban operations during Oswald's timeframe,CIA anti-Cuban operations 1960-64 if they involve JFK figures or subjects; most US anti-Castro activities in 1963 are considered relevant,CIA,No
104-10332-10023,3,FOREIGN_GOVERNMENT_REACTIONS,6,KGB interest in Oswald documented,KGB interest in Oswald,KGB,No
104-10332-10023,4,CIA_FBI_ACTIVITIES,8,CIA Historical Review Group conducted search on Lee Harvey Oswald records in October 1993,"In October 1993, following enactment of the JFK Act but prior to the President's appointment of the Board, CIA's Historical Review Group (HRG) requested the CIA directorates to conduct a name search on Lee Harvey Oswald, JFK assassination, and any related documents",Lee Harvey Oswald|CIA,No
104-10332-10023,4,OSWALD_ASSOCIATIONS,6,Multiple potentially relevant individuals listed who may have connections to Oswald,"Names include: Howard Hunt, Valeriy Kostikov, Mr. & Mrs. George de Mohrenschildt, Yuri Nosenko, Michael & Ruth Paine, David A. Phillips",,No
104-10332-10023,4,CIA_FBI_ACTIVITIES,7,Extensive document collection and transfer of assassination-related records,"More than thirty-one additional boxes of materials were sent to HRG for review. Included were nineteen boxes of JFK working files, Russ Holmes' files, CIA employee records, boxes on Nosenko, Latin American division documents",CIA,No
104-10332-10023,5,CIA_INTERNAL_ACTIVITIES,8,CIA conducting internal searches and reviews of records related to JFK assassination in 1997-1998,"In the spring and summer of 1997, the Agency arranged for the Board staff to receive a series of briefings by representatives of each directorate on the files kept within the records systems of each directorate.",CIA,No
104-10332-10023,5,AGENCY_RESPONSE_TO_INVESTIGATION,7,CIA issued Agency-wide bulletin directing employees to review documents related to JFK assassination,DCI Tenet issued an Agency-wide Employees Bulletin on 22 July 1998 directing all CIA personnel to 'consider documents in their possession or with which they are associated',CIA,No
104-10332-10023,5,INVESTIGATION_SCOPE,6,Broad search for assassination-related materials across CIA operations and files,"The Board staff requested a number of additional searches... which included the histories of various CIA operations and Agency components, files on specific individuals involved in either the Warren Commission or HSCA investigations",CIA|Warren Commission,No
104-10332-10023,1,INTERNAL_GOVT_COMMUNICATIONS,7,Official CIA Historical Review Group memorandum requesting comprehensive search for JFK assassination records,Request to Conduct Search for JFK Assassination Records,CIA,No
104-10332-10023,1,OSWALD_ASSOCIATIONS,6,Specific request for name and subject search on Lee Harvey Oswald from 1980-1993,"A name search on Lee Harvey Oswald for the period 1980 through 1993; a subject search on JFK assassination (Kennedy assassination, etc.)",Lee Harvey Oswald,No
104-10332-10023,1,INTERNAL_GOVT_COMMUNICATIONS,7,Memo about establishing Directorate Focal Points for JFK Assassination Board Requests,Appointment of Directorate Focal Points for JFK Assassination Board Requests,,No
104-10332-10023,1,CIA_FBI_ACTIVITIES,6,Mentions Board's focus on 'sequestered' CIA records related to Assassination Investigation,"Up to now, the Board has focused on the 'sequestered' records CIA had collected for the House Assassination Committee investigation and documents that had been part of the Oswald 201 file.",CIA,No
104-10332-10023,1,HISTORICAL_REVIEW,8,Historical Review Group (HRG) established as primary liaison with JFK Assassination Board,"The Historical Review Group (HRG) of the Center for the Study of Intelligence (CSI), which has been the Agency's principal liaison with the JFK Board, will continue in that role.",,No
104-10332-10023,1,CIA_FBI_ACTIVITIES,7,New search of JFK assassination counterintelligence files being conducted,New Search of CI Files for JFK Assassination Records,,No
104-10332-10023,1,DOCUMENT_CONTEXT,8,Document suggests new documents have recently surfaced related to assassination investigation,"relevant new documents have surfaced within the past few months, the Board has also requested specific focus on renewed searches of the Agency's 'counterintelligence files'",,No
104-10332-10023,1,FOREIGN_GOVERNMENT_REACTIONS,6,Reference to new documents related to Soviet Union and recent defector reports,including references to a variety of reasons... records made available because of the break up of the Soviet Union,Soviet,No
104-10332-10023,2,OSWALD_ASSOCIATIONS,8,Specific search directive for Oswald-related files and references,Debriefings of defectors in which ANY reference to Oswald occurs,,No
104-10332-10023,2,CIA_FBI_ACTIVITIES,9,Comprehensive search protocol for JFK assassination records across multiple databases,Search terms in paragraph 5-on ANY OF FILES which may contain information relating in any way to the JFK assassination,,No
104-10332-10023,2,WITNESS_TESTIMONIES,7,Post-1978 search terms include key investigation references,"Warren Commission, House Select Committee on Assassinations, HSCA, Oswald, Lee Harvey Oswald, Marina Oswaid, Jack Ruby",Lee Harvey Oswald|Jack Ruby|Warren Commission,No
104-10332-10023,3,CIA_INTERNAL_INVESTIGATION,8,New search of CIA files related to JFK assassination records,New Search of CI Files for JFK Assassination Records,CIA,No
104-10332-10023,3,PERSONNEL_TRACKING,7,Seeking identity and location of personnel involved in 'JUDECANTER' debriefings,The identity and current location of personnel (either the current assignment of employees or any knowledge of current location of retirees) who participated in debriefings or preparation of reports on debriefings of [JUDECANTER],,No
104-10332-10023,3,DOCUMENT_DESTRUCTION,9,Specific request for destruction of James J. Angleton's files,The destruction of James J. Angleton's files,CIA,No
104-10332-10023,1,CIA_INTERNAL_INVESTIGATION,8,CIA conducting final document search for JFK Assassination Records Collection Act compliance,The Agency has been working on this effort since 1992 and has searched all of the obvious databases.,CIA,No
104-10332-10023,1,DOCUMENT_SCOPE,7,Expanded search to include documents from former Soviet Union and Warsaw Pact,The reference to 1992 is largely intended to encompass documents which may have come into our hands since the collapse of the Soviet Union and Warsaw Pact.,Soviet,No
104-10332-10023,1,SEARCH_METHODOLOGY,6,Comprehensive search strategy including non-traditional document sources,"Representatives of the Historical Review Program believe that if such documents do exist, most likely, be found in files that would not be generally related to the assassination or that would not be 'logical' areas for systematic searches.",,No
104-10332-10023,,CIA_PERSONNEL,7,List of CIA personnel with secure phone contacts for JFK Project Review,"William McNair (DO/IRO), Barbara Blufer (DI/IRO), Teresa Wilcox (DS&T/IRO), Becky Rant (DA/IRO), Mary Lou Cummings (DCI Area/IRO), Barry Harelson (JFK Project Coordinator)",CIA,No
104-10332-10023,1,CIA_FBI_ACTIVITIES,7,CIA engaged in extensive document review and declassification process for JFK assassination records,"CIA, during 1992 and 1993, reviewed for declassification material which had been sequestered following the investigation of the House Select Committee on Assassinations (HSCA) in 1978.",CIA,No
104-10332-10023,1,GOVT_TRANSPARENCY,8,Systematic review and release of classified JFK assassination documents,"As a result of this effort, CIA released as declassified to the National Archives in August 1993 some 127,000 pages of material from this collection.",CIA,No
104-10332-10023,2,CIA_FBI_ACTIVITIES,7,Document describes CIA document review process involving retired officers with extensive Agency experience,Each document in the collection was read by an Historical Reviewer Program (HRP) Reviewer -- in every case a retired officer with at least two decades of Agency experience,CIA,No
104-10332-10023,2,CIA_FBI_ACTIVITIES,8,Mention of sensitive CIA operations and investigations related to JFK assassination era,"Material from the Rockefeller Commission and Church Committee investigations, presidential libraries and PFIAB files which addressed the entire scope of CIA activities raised issues with respect to relevance to the JFK assassination.",CIA,No
104-10332-10023,2,FOREIGN_GOVERNMENT_REACTIONS,6,Reference to CIA anti-Castro operations,"Project MONGOOSE, a clandestine position of the publicly acknowledged U.S. anti-Castro policy, was released.",CIA|Cuba,No
104-10332-10023,3,DOCUMENT_REVIEW_PROCESS,8,National Archives review process revealed inconsistencies in document collection,"comparison with the 1993 released version revealed not only inconsistencies but textual phrasing which, in a mosaic of related documents, made likely the identification of a protected individual or action",,No
104-10332-10023,3,AGENCY_LOCATION_PROTECTION,7,Efforts to protect CIA overseas station locations and agency personnel,"identification of overseas station locations, traditionally not revealed--both to protect Agency individuals, activities and sources and to avoid foreign relations difficulties",CIA,No
104-10332-10023,3,REDACTION_POLICY,9,Specific redaction guidelines for sensitive documents,"Except for redaction of names of CIA employees, true names of clandestine agents (otherwise identified with traceable cryptonyms), and currently-sensitive cooperation with specific foreign intelligence services, the final collection in the National Archives will contain very limited redactions",CIA,No
104-10332-10023,1,OSWALD_ASSOCIATIONS,7,CIA maintained a pre-assassination subject file on Oswald containing newspaper articles and reports from other government agencies,The Office of Security (OS) maintained a pre-assassination subject file on Oswald.,CIA,No
104-10332-10023,1,CIA_FBI_ACTIVITIES,6,"Extensive searches conducted for Oswald-related volumes and files, with some inconsistencies in filing and storage",A second thorough search of the OS file system failed to produce any record of Volume V.,CIA,No
104-10332-10023,1,SURVEILLANCE_RECORDS,8,Significant interest in locating electronic surveillance tapes of Oswald's Mexico City visit,There has been considerable interest over the years in locating any electronic surveillance tapes that would have been made during the period that Oswald visited Mexico City (26 September - 2 October 1963).,Mexico City,No
104-10332-10023,2,CIA_FBI_ACTIVITIES,7,CIA analysis of audio surveillance tapes from Cuban and Soviet embassies in Mexico City during immediate post-assassination period,In our search efforts we did locate approximately 185 audio surveillance tapes of the Cuban and Soviet embassies in Mexico City that were recorded during the immediate time following the assassination (22 November 1963 to January 1964).,CIA|Soviet|Mexico City,No
104-10332-10023,2,INTERNAL_GOVT_COMMUNICATIONS,6,Memo discussing disposal and potential recycling of intelligence tapes,CIA has concluded that tapes in question do not exist and were almost certainly recycled in the normal course of business before their potential value was identified.,CIA,No
104-10332-10023,3,CIA_RECORDS_MANAGEMENT,7,Documents about JFK assassination-related files being reviewed and processed,Both documents were noted as missing when the files were reviewed by the CIA History Staff in November 1986.,CIA,No
104-10332-10023,3,OSWALD_ASSOCIATIONS,6,Reference to documents about Oswald,"Participants - DCI, U.J. McCloy; Dinner at Residence - Re: Oswald. [The latter is annotated: 'Destroyed 1-28-72.']",,No
104-10332-10023,3,CIA_INTERNAL_INVESTIGATION,8,Systematic review and processing of assassination-related files,The JFK collection contains a 201 file on Mr. Pawley... Most of the material was already within the JFK collection.,CIA,No
104-10332-10023,4,OSWALD_ASSOCIATIONS,7,Oswald files from Mexico City and potential CIA interest,files from Mexico City Station are listed in the sequestered collection and the Oswald 201 file materials,CIA|Mexico City,No
104-10332-10023,4,CIA_FBI_ACTIVITIES,8,Court-ordered destruction of HTLINGUAL surveillance files,CIA was directed by court order to destroy all HTLINGUAL material,CIA,No
104-10332-10023,4,OSWALD_ASSOCIATIONS,6,Files related to Warren Commission investigation of Oswald,the time of the assassination (as shown by the fact that they are contained in the Warren Commission materials),Warren Commission,No
104-10332-10023,5,RECORD_DESTRUCTION,8,A record related to the Kennedy assassination was destroyed on 5/1/95,"In November 1997, the Information Management Officer of the Office of the Inspector General (OIG) advised that he had discovered a record which indicated that a file referred to the Kennedy assassination had been destroyed on '5/1/95'.",,No
104-10332-10023,5,OSWALD_ASSOCIATIONS,7,Document was part of the Lee Harvey Oswald file,A search for information on this document revealed that the document had been created in 1977 and was described as 'allegations regarding the Lee Harvey Oswald file.',Lee Harvey Oswald,No
104-10332-10023,1,CIA_FBI_ACTIVITIES,7,"CIA worked closely with JFK Assassination Records Review Board, providing documents related to Oswald Pre-Assassination File","On each request, the CIA worked closely with the Board and Board staff to provide the information and/or documents requested and a written response which records such actions.",CIA,No
104-10332-10023,1,OSWALD_ASSOCIATIONS,6,Reference to CIA-16 request specifically mentioning Oswald Pre-Assassination File,this attachment includes at Tab 2 the specific response to the request numbered CIA-16 (Oswald Pre-Assassination File),CIA,No
104-10332-10023,2,CIA_FBI_ACTIVITIES,7,Comprehensive CIA records review related to JFK assassination,JFK Assassinations Records Review Board Requests for Additional Information and Records,CIA,No
104-10332-10023,2,OSWALD_ASSOCIATIONS,6,Multiple CIA file requests concerning Oswald and related materials,CIA - 11: Sylvia Duran Materials; CIA - 16: Oswald Pre-Assassination Files,CIA,No
104-10332-10023,3,OSWALD_ASSOCIATIONS,7,Multiple CIA informal requests related to Oswald records,CIA-IR-05: Possible foreign source for records on Oswald,CIA,No
104-10332-10023,3,CIA_FBI_ACTIVITIES,8,Internal CIA investigation of Oswald-related documents and files,CIA-IR-10: Determination if CIA IG maintains an index of reports and determine if one was done on handling of Oswald matters,CIA,No
104-10332-10023,3,SURVEILLANCE_RECORDS,6,Searches and inquiries about Oswald-related computer files,CIA-IR-09: George Bush computer search,CIA,No
104-10332-10023,4,OSWALD_ASSOCIATIONS,7,Multiple references to Oswald-related files,CIA-IR-29: Oswald Le Winter,Lee Harvey Oswald|CIA,No
104-10332-10023,4,CIA_FBI_ACTIVITIES,8,Extensive CIA informal requests tracking surveillance and files,CIA-IR-15: Mexico City Station electronic surveillance and surveillance tapes,CIA|Mexico City,No
104-10332-10023,4,SURVEILLANCE_RECORDS,9,Specific mention of surveillance tapes from Mexico City,Tapes from 22-23 Nov. '63 have been processed and are available to NARA,Mexico City,No
104-10332-10023,5,OSWALD_ASSOCIATIONS,7,Informal request related to Oswald information from a specific source,Oswald related information provided by Source identified in RIF No 104-10151-10206,,No
104-10332-10023,5,CIA_FBI_ACTIVITIES,6,CIA informal requests involving files and investigations,Files of CIA officials/offices,CIA,No
104-10332-10023,1,CIA_FBI_ACTIVITIES,7,CIA document discussing pre-assassination files on Lee Harvey Oswald,Request for Additional Information and Records No. CIA-16 (Oswald Pre-Assassination Files),Lee Harvey Oswald|CIA,No
104-10332-10023,1,OSWALD_ASSOCIATIONS,6,Reference to Office of Security files containing information about Oswald,"These include the Office of Security file on Oswald, a general file on Americans who had defected to another country",CIA,No
104-10332-10023,1,OSWALD_ASSOCIATIONS,7,CIA maintained two files on Lee Harvey Oswald at the time of the Kennedy assassination,"At the time of the assassination, the Office of Security (OS) held two files which contained information on Lee Harvey Oswald.",Lee Harvey Oswald|CIA,No
104-10332-10023,1,INTERNAL_GOVT_COMMUNICATIONS,6,Document reveals internal review of Oswald-related files and their destruction,"Since this material has been destroyed, OPS cannot definitively state whether these files contained any information on Lee Harvey Oswald.",Lee Harvey Oswald,No
104-10332-10023,2,OSWALD_ASSOCIATIONS,7,"Detailed information about HTLINGUAL project involving mail surveillance of countries including Soviet Union, China, Pakistan, and South America","HTLINGUAL was a Directorate of Operations project involving the opening incoming and outgoing mail destined to and from the Soviet Union, China, Pakistan, and South America.",Soviet,No
104-10332-10023,2,DEFECTORS_INTELLIGENCE,8,Defectors File established to record information on US citizens defecting to other countries,The Defectors File (#0341008) was established circa 1950 for the purpose of recording information on US citizens defecting to other countries and information regarding foreign nationals considering defection to the United States.,Soviet,No
104-10332-10023,2,DOCUMENT_SOURCES,6,Pre-assassination documents about Oswald from various sources,The pre-assassination documents located in this file relative to Lee Harvey Oswald are: a. Washington Star press clipping of 26 November 1959...,Lee Harvey Oswald,No
104-10332-10023,3,OSWALD_ASSOCIATIONS,8,"Detailed file on Lee Harvey Oswald established circa 1960, containing press clippings and reports from government agencies about his defection",The subject file pertaining to Lee Harvey Oswald (W035l164) was established circa 1960. It appears this file was created as a separate repository for the numerous press clippings and reports received from other government agencies on the defection of Lee Harvey Oswald to the USSR and his activities following his return to the United States.,Lee Harvey Oswald,No
104-10332-10023,3,FOREIGN_GOVERNMENT_REACTIONS,7,Early document referencing Oswald's interactions with Soviet authorities,Department of State telegram #1304 from Moscow dated 31 October 1959,Soviet,No
104-10332-10023,3,MEDIA_COVERAGE,6,Press coverage of Oswald's marine status,The Washington Post press clipping dated November 1959 entitled 'Ex-Marine Asks Soviet Citizenship',Soviet,No
104-10332-10023,4,OSWALD_ASSOCIATIONS,6,Multiple documents related to Oswald's activities and communications,Department of State Dispatch from Moscow dated May 1961 with enclosure of Oswald letter,,No
104-10332-10023,4,CIA_FBI_ACTIVITIES,7,Multiple agency documents tracking Oswald,Report Summary prepared by Soviet Russia Division forwarded to Office of Security in March 1960,Soviet,No
104-10332-10023,5,OSWALD_ASSOCIATIONS,8,CIA and State Department tracking Oswald since 1959 when he traveled to Russia,"OS holdings on Lee Harvey Oswald began in 1959 with his travel to Russia during which he renounced his US citizenship. Oswald was in contact with the American Embassy in Moscow, and the Department of State prepared reports on these contacts.",Lee Harvey Oswald|CIA,Yes
104-10332-10023,5,CIA_FBI_ACTIVITIES,7,Central Intelligence Agency involved in distributing reports about Oswald,"Most likely because of counterintelligence concerns, the Central Intelligence Agency was included in the distribution of these reports.",,No
104-10332-10023,5,FOREIGN_GOVERNMENT_REACTIONS,6,Multiple cables from Mexico City related to Oswald time period,"Incoming cables from Mexico City dated 20 July 1963, 17 August 1963, 9 October 1963, and 24 October 1963",Mexico City,No
104-10332-10023,6,OSWALD_ASSOCIATIONS,7,Document discusses Lee Harvey Oswald file and pre-assassination information,Lee Harvey Oswald (#0351614) were handled by Marguerite D. Stevens of the OS/Security Research Staff during the pre-assassination time frame.,Lee Harvey Oswald|CIA,No
104-10332-10023,6,CIA_FBI_ACTIVITIES,8,Security Research Staff (SRS) role in intelligence gathering and counterintelligence,"The Security Research Staff (SRS) was the component responsible for collecting, developing, and evaluating information of a counterintelligence nature",CIA,No
104-10332-10023,6,SURVEILLANCE_RECORDS,6,SRS maintained detailed records on individuals of counterintelligence interest,"SRS maintained records identifying personalities, environments, and personal traits of individuals who had been of counterintelligence interest over the years",CIA,No
104-10332-10023,1,OSWALD_ASSOCIATIONS,7,Document relates to researching pre-assassination files on Lee Harvey Oswald,"The Office of Personnel Security was tasked on 31 January 1997 by the Historical Review Group/Center for the Study of Intelligence(HRG/CSI), via the Directorate of Administration/Information Review Office, with researching pre-assassination files on Lee Harvey Oswald",Lee Harvey Oswald,No
104-10332-10023,1,ARCHIVAL_INCONSISTENCIES,8,"Missing Volume V of Oswald files, potential numbering error in document volumes",A search of the entire area where the volumes had been maintained failed to locate Volume V. The IMB Files Section was subsequently charged with conducting an all out search for the missing volume.,,No
104-10332-10023,1,INVESTIGATION_METHODOLOGY,6,Detailed investigation into missing Oswald file volumes,During the complete review of the Oswald files no time gap was apparent and no one was located who could recall ever seeing Volume V.,,No
104-10332-10023,1,OSWALD_ASSOCIATIONS,7,CIA document references HTLINGUAL operation involving Oswald,"Given that Oswald was a subject of the HTLINGUAL operation, it is reasonable to believe that there was a file on him.",CIA,No
104-10332-10023,1,CIA_FBI_ACTIVITIES,8,CIA destroyed all HTLINGUAL files related to Oswald under court order,We did not review all of the DO record system to destroy all copies of material which may have been derived from HTLINGUAL material.,CIA,No
104-10332-10023,1,INTERNAL_GOVT_COMMUNICATIONS,6,Document details CIA file management procedures for Oswald records,"Prior to establishing a 201, any documents received would have been placed in an operational interest file.",CIA,No
104-10332-10023,1,OSWALD_ASSOCIATIONS,7,Specific documents related to Oswald's files being processed for transfer,"All documents from Lee Harvey Oswald's ""A"" file and post-1978 201 file, Oswald's 201 file and security file and Marina Oswald's 201 (microfilm version) have already been transferred to NARA",Lee Harvey Oswald|CIA,No
104-10332-10023,1,CIA_FBI_ACTIVITIES,6,Detailed processing plan for CIA assassination records,"Per agreement with Review Board, the declassification review of all records, unless specifically designated for post-September 1998 processing by the Review Board",CIA,No
104-10332-10023,2,CIA_FBI_ACTIVITIES,7,CIA preparing to review and return unreviewed third-party referral documents related to JFK assassination,The CIA proposes that it complete its review and return to originating agency by April 1999 all unreviewed third agency referral documents which were received prior to 30 September 1998.,CIA,No
104-10332-10023,2,REFERRAL_SOURCES,8,Multiple sources of potential assassination-related records identified,"Referral sources include: Army's Investigative Records Repository, SSCI -- Church Committee Records, JFK Presidential Library (Robert Kennedy files)",,No
104-10332-10023,3,CIA_RECORDS_MANAGEMENT,8,"CIA proposes to transfer Oswald's Security File and 'A' File to NARA, but retain custody until 2017",The CIA proposes that the classified versions of Lee Harvey Oswald's Security File and 'A' File along with Marina Oswald's original 201 be transferred to the protected (secure) portion of the JFK Collection at NARA by 30 September 1998.,Lee Harvey Oswald|CIA,No
104-10332-10023,3,OSWALD_ASSOCIATIONS,6,Existence of specific CIA files about Oswald (Security File and 'A' File),Oswald 201 (original and microfilm from the sequestered collection),CIA,No
104-10332-10023,1,OSWALD_ASSOCIATIONS,7,Document indicates records specifically related to Oswald and assassination investigation,seventeen (17) are made up the Oswald 201 file,,No
104-10332-10023,1,CIA_FBI_ACTIVITIES,8,Detailed breakdown of record collections including CIA staff files,personnel files of CIA staff employees (approximately 5 reels),CIA,No
104-10332-10023,1,FOREIGN_GOVERNMENT_REACTIONS,6,Records include Cuban and Soviet-linked investigative materials,"Cubans, Americans, and Soviets linked to Oswald, the JFK assassination or various investigations",Soviet,No
104-10332-10023,1,OSWALD_ASSOCIATIONS,7,Document references Oswald's connections to multiple investigations and intelligence agency files,The Oswald Security File; Agency working files generated by JFK assassination investigations and requests,,No
104-10332-10023,1,TIME_FRAME_ANALYSIS,9,Precise time frame for JFK assassination records defined,"Time frame commences when Oswald arrived at the US air base (the U-2) at Atsugi, Japan, in December 1957 and continues through the end of the Garrison investigation in 1968",,No
104-10332-10023,1,INVESTIGATIONS,8,Multiple official investigations listed,"- Warren Commission, 1963-64
- James Garrison, New Orleans DA, 1966-68
- Rockefeller Commission, *1975
- Church Committee (Senate), *1975-76
- House Select Committee on Assassinations (HSCA), 1976-79",Warren Commission|New Orleans,No
104-10332-10023,1,INTELLIGENCE_STATIONS,6,Intelligence stations connected to Oswald's movements,"Moscow Station, Mexico City Station, JMWAVE Station, and CIA stations in those cities through which Oswald passed and how way to and from the Soviet Union",CIA|Soviet|Mexico City,No
104-10332-10023,1,OSWALD_ASSOCIATIONS,8,Multiple potential Oswald connections listed in 'Key Figures' section,"-- David Phillips, CIA employee; -- Michael and Ruth Paine, Dallas; -- friends of Oswalds",CIA|Dallas,No
104-10332-10023,1,CIA_FBI_ACTIVITIES,9,CIA document detailing anti-Cuban operations and surveillance of key figures,"CIA anti-Cuban operations 1960-64 (Mongoose, etc.) if they involve JFK figures",CIA,No
104-10332-10023,1,FOREIGN_GOVERNMENT_REACTIONS,7,Document mentions KGB officer in Mexico City and Cuban embassy connections,"-- Valeriy Kostikov, KGB Officer in Mexico City; -- Silvia Duran, employee in Cuban Embassy, Mexico City",KGB|Mexico City,No
104-10332-10023,1,OSWALD_TRAVEL_CHRONOLOGY,9,Detailed timeline of Oswald's movements from 1956-1963,"Oswald Chronology, 1956-1963",,No
104-10332-10023,1,TRAVEL_FINANCIAL_RECORDS,8,"Tracked international movements including Japan, USSR, Europe, and multiple US locations","Arrives Atsugi (U2 Base) Japan 09/12/57, Departs New Orleans for Moscow via LeMavre, London, Helsinki 09/20/59",New Orleans,No
104-10332-10023,1,FOREIGN_GOVERNMENT_INTERACTIONS,7,Extended residence in Soviet locations,Resides in Minsk 01/07/60 - 05/22/62,Soviet,No
104-10332-10023,1,INTERNAL_GOVT_COMMUNICATIONS,7,Internal CIA memorandum discussing JFK Board's request for assassination records release,"The Board has considered release of all CIA assassination records to be critical to successful implementation of the JFK Act. Accordingly, the Board requested each of CIA's directorates to certify,",CIA,No
104-10332-10023,1,CIA_FBI_ACTIVITIES,6,Efforts to address and potentially limit conspiracy theories about JFK assassination,The whole six year effort was designed to put rest all of the conspiracy theories and this comment would undercut the effort.,,No
104-10332-10023,1,CIA_COMPLIANCE,8,Document suggests CIA refused to fully comply with JFK Act requirements,"CIA refused to sign CIA's Declaration of Compliance. Instead, the CIA raised serious concerns for the Board that the CIA has in fact fully complied with the JFK Act.",CIA,No
104-10332-10023,1,INTERNAL_GOVT_COMMUNICATIONS,7,CIA Directorate of Intelligence document about JFK assassination records review process,I am the Information Review Officer (IRO) for the Directorate of Intelligence (DI) of the Central Intelligence Agency (Agency).,CIA,No
104-10332-10023,1,CIA_FBI_ACTIVITIES,6,Ongoing effort to search and review records related to JFK assassination,"On 21 August, Mr. Harrelson contacted me for a further search of DI records, specifically that the DI follow up on a previously search by extending the timeframe covered in that original search.",,No
104-10332-10023,1,INTERNAL_GOVT_COMMUNICATIONS,8,CIA internal memo requesting comprehensive file search on Kennedy assassination,We are requested to search our files for any classifying material relating to the assassination of President Kennedy,CIA,No
